Zip Code,URLs Found,Courts Scraped,Success Rate %
77449,36,36,100.0
78660,75,75,100.0
77433,41,41,100.0
60629,97,97,100.0
77084,74,74,100.0
11368,89,89,100.0
11208,89,89,100.0
79936,21,21,100.0
11385,89,89,100.0
92336,31,31,100.0
90011,80,80,100.0
37013,29,29,100.0
90650,115,115,100.0
30044,1,1,100.0
11226,89,89,100.0
11373,89,89,100.0
91331,78,78,100.0
77573,41,41,100.0
10467,151,151,100.0
77429,39,39,100.0
90044,103,103,100.0
78130,12,12,100.0
75052,66,66,100.0
92335,30,30,100.0
11236,89,89,100.0
90250,132,132,100.0
11219,89,89,100.0
90805,106,106,100.0
90201,94,94,100.0
10314,89,89,100.0
91342,78,78,100.0
11207,89,89,100.0
78641,28,28,100.0
00926,21,21,100.0
10025,146,146,100.0
34787,49,49,100.0
77479,64,64,100.0
60618,97,97,100.0
90280,96,96,100.0
78245,4,4,100.0
77584,53,53,100.0
11220,89,89,100.0
11221,89,89,100.0
92683,112,112,100.0
11206,89,89,100.0
78613,80,80,100.0
30043,36,36,100.0
11214,89,89,100.0
11230,89,89,100.0
92503,34,34,100.0
11212,89,89,100.0
92345,6,6,100.0
60632,97,97,100.0
11234,89,89,100.0
78666,11,11,100.0
85142,26,26,100.0
10456,89,89,100.0
73099,24,24,100.0
75035,106,106,100.0
78542,13,13,100.0
60647,97,97,100.0
37042,6,6,100.0
30024,79,79,100.0
91911,59,59,100.0
75217,44,44,100.0
60639,123,123,100.0
93722,9,9,100.0
92376,33,33,100.0
22193,122,122,100.0
93727,9,9,100.0
11377,89,89,100.0
96706,88,88,100.0
92804,97,97,100.0
95823,66,66,100.0
60804,147,147,100.0
77379,4,4,100.0
92154,41,41,100.0
11233,89,89,100.0
34953,16,16,100.0
95076,8,8,100.0
11235,89,89,100.0
27587,63,63,100.0
84043,47,47,100.0
76063,34,34,100.0
77407,29,29,100.0
60608,97,97,100.0
11204,89,89,100.0
77459,4,4,100.0
93033,0,0,0
92704,90,90,100.0
28269,56,56,100.0
91710,51,51,100.0
27610,58,58,100.0
92509,30,30,100.0
94112,76,76,100.0
78577,15,15,100.0
10468,170,170,100.0
